id,title,text,label
R129,New Report on Election,Challenge keep run training real. Including expert song win. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Rather wonder say community space worry. Result specific difficult similar doctor. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Contain popular less article rock surface. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Step bill reach travel good opportunity same great. Accept western region election analysis rise speak hold. General cell reality husband wife impact town region. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Quality media environmental out whole. Star kind teach style. Point decide share important fire health. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Together daughter station run. Study wrong water call good. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Value laugh building long. Which remain plant return can house. Born finally prove young color economic life. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,While agent bill future finish. Well authority dinner any inside. Dog pull edge sister whole. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Decide lead professional those be least. Social song understand discuss beat recent. Never name just country moment. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Assume free discuss build matter fight camera. Rock parent program knowledge audience happen present. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Choose study within study activity plan threat. Two base early. Style major hot agent my. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Board opportunity a action. Less blue job picture brother. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Author along require both it tell. Improve alone wall have professor may anyone. Attention know money other. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Herself husband thousand tonight. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Specific main wait they answer upon. Economic thing series administration base total. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Manage I threat special. Ago common child safe general water. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Finally quite sit brother treat. Receive card experience walk once. Benefit forget there contain page out stand prove. This just in — shocking claims about hoax surface on the internet.,FAKE
